0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
"[548366.8504472676, 465933.9319599434, 387263.9273848477]","[565761.7421484052, 465108.2664221956, 387263.9273848477]","[589614.245206144, 460172.94923642767, 387263.9273848477]","[577841.7263283175, 478172.5751760148, 387263.9273848477]","[583100.4842842544, 492899.9715380862, 387263.9273848477]","[572738.5961527919, 477999.8821368321, 387263.9273848477]","[562544.8293945331, 456270.1307670806, 387263.9273848477]","[561938.7002054226, 455314.6720615124, 387263.9273848477]","[598703.3551409143, 476953.14100440196, 387263.9273848477]","[662171.6787878213, 497993.21926280315, 387263.9273848477]","[582652.9086779329, 472520.60116832185, 387263.9273848477]","[611881.9774345466, 474561.66227355704, 387263.9273848477]","[682231.675628574, 499369.7492402549, 387263.9273848477]","[561809.1661310405, 461215.9367628642, 387263.9273848477]","[492444.5332490397, 444451.2713566937, 387263.9273848477]","[581667.8710505249, 460800.768511294, 387263.9273848477]","[564288.283144714, 480167.20325508824, 387263.9273848477]","[567296.3352717821, 464851.6566703626, 387263.9273848477]","[544767.6858615922, 467492.3453163291, 387263.9273848477]","[602022.0101672098, 472870.2063451885, 387263.9273848477]","[564249.3530640258, 474790.57618467737, 387263.9273848477]","[570909.6929847781, 462622.3812098567, 387263.9273848477]","[579076.3198297292, 474405.4848181914, 387263.9273848477]","[603237.824770584, 498684.4141562346, 387263.9273848477]","[599674.8417818553, 486101.02767103317, 387263.9273848477]","[582916.2739949217, 461950.51720803493, 387263.9273848477]","[554300.6637155862, 458185.7493578206, 387263.9273848477]","[546672.0745703926, 455054.9822999181, 387263.9273848477]","[550114.843712501, 458937.8723731723, 387263.9273848477]","[542459.8572410634, 450755.63327656203, 387263.9273848477]","[600028.9070032056, 472114.73125064746, 387263.9273848477]","[613660.7995019236, 500743.65353215835, 387263.9273848477]","[562167.8051351226, 472215.46878650587, 387263.9273848477]","[602917.4323291449, 467330.8944120393, 387263.9273848477]","[584770.0883855671, 469433.696713501, 387263.9273848477]","[543459.9822334063, 455948.7026892075, 387263.9273848477]","[549591.5033168477, 462237.1378580916, 387263.9273848477]","[564090.3452943823, 472164.3949623308, 387263.9273848477]","[581837.2033939258, 468505.8991917595, 387263.9273848477]","[557644.7737659834, 452862.68492039514, 387263.9273848477]","[582164.5124282986, 462880.0344430846, 387263.9273848477]","[668328.7305989369, 489129.8651950017, 387263.9273848477]","[587597.3053436824, 464244.7785782819, 387263.9273848477]","[567367.3768683852, 469230.30984020774, 387263.9273848477]","[534439.7025866563, 453341.991192463, 387263.9273848477]","[570980.0609700654, 477618.85829151864, 387263.9273848477]","[581761.7233373738, 453957.38243565586, 387263.9273848477]","[641482.4774198147, 522272.07221430703, 387263.9273848477]","[572002.2308310659, 474868.303020241, 387263.9273848477]","[545328.4973509742, 454634.489989631, 387263.9273848477]"
"[598998.395780137, 470147.6728712312, 377303.5139239393]","[563152.2072512871, 464041.988997669, 377303.5139239393]","[558729.7721425946, 468323.9596925418, 377303.5139239393]","[597976.4127044592, 484952.2872203312, 377303.5139239393]","[630281.5693186872, 487394.42359870585, 377303.5139239393]","[545276.1686376628, 457616.63279781135, 377303.5139239393]","[552231.1281879798, 454152.44628265436, 377303.5139239393]","[593529.1751001328, 466489.6382603838, 377303.5139239393]","[590201.5102944499, 456150.6762827705, 377303.5139239393]","[553946.382023712, 460808.7028614474, 377303.5139239393]","[571642.8304831637, 452263.2762323946, 377303.5139239393]","[510020.62166266295, 441548.73626825487, 377303.5139239393]","[544385.8069439225, 450795.03109408164, 377303.5139239393]","[504257.2453427811, 444603.9175789232, 377303.5139239393]","[554263.3682452319, 452553.16869176435, 377303.5139239393]","[549603.057570326, 443373.59537356294, 377303.5139239393]","[543972.485247015, 443544.7637985209, 377303.5139239393]","[525257.5627620405, 447756.7075934295, 377303.5139239393]","[593539.9406290669, 452109.31537920015, 377303.5139239393]","[553762.2387571646, 443073.78739717405, 377303.5139239393]","[588400.8561641301, 456436.41044978687, 377303.5139239393]","[573598.5355318055, 451851.5856543102, 377303.5139239393]","[652241.5520037982, 478173.90039642254, 377303.5139239393]","[566228.3153228834, 475942.1830785575, 377303.5139239393]","[654003.3226502271, 529119.8512934739, 377303.5139239393]","[532370.3162228304, 444562.1944420119, 377303.5139239393]","[549173.1503985877, 457146.3034496357, 377303.5139239393]","[556790.5031665757, 452623.03635839303, 377303.5139239393]","[547496.7741951096, 452907.11342853523, 377303.5139239393]","[571181.047971224, 458811.80209750694, 377303.5139239393]","[585879.4238305397, 458771.2628688236, 377303.5139239393]","[613970.3729060079, 484110.7565959997, 377303.5139239393]","[582625.0706600223, 468643.43302156514, 377303.5139239393]","[564123.2795122033, 450328.81872187986, 377303.5139239393]","[530132.1596696958, 461008.57360144536, 377303.5139239393]","[504770.38136318995, 438754.92515550496, 377303.5139239393]","[582471.4953270485, 459971.05198005977, 377303.5139239393]","[591540.802924808, 464466.625867558, 377303.5139239393]","[560635.8583974295, 450043.23813017266, 377303.5139239393]","[598830.558718599, 480015.938163732, 377303.5139239393]","[557624.6270991014, 436672.9678632085, 377303.5139239393]","[533659.8417352985, 445636.1628165909, 377303.5139239393]","[571286.283791688, 457910.6948102458, 377303.5139239393]","[598284.227964529, 462437.916962625, 377303.5139239393]","[616342.822813352, 467714.44038789417, 377303.5139239393]","[541474.397976386, 459588.74320135755, 377303.5139239393]","[586516.7016780481, 474760.1467643919, 377303.5139239393]","[543092.5710731698, 451100.1246680381, 377303.5139239393]","[525212.307818937, 438941.13094129943, 377303.5139239393]","[602450.2378381432, 468785.50671309384, 377303.5139239393]"
"[594522.1156686668, 472791.2935556425, 399576.3210906663]","[605067.7111404754, 483058.20866125956, 399576.3210906663]","[567839.2097674295, 478883.8054104559, 399576.3210906663]","[632462.8227767028, 506645.9830630492, 399576.3210906663]","[556789.5603724425, 475015.5873556929, 399576.3210906663]","[549546.9358388504, 469400.71423750906, 399576.3210906663]","[603375.7404176274, 489492.5985607988, 399576.3210906663]","[677376.8406698975, 524249.9190015037, 399576.3210906663]","[612039.9615278774, 488070.651350546, 399576.3210906663]","[609858.2081450439, 481820.743322504, 399576.3210906663]","[557866.5837883516, 473000.5867024171, 399576.3210906663]","[548392.6796464837, 474271.47411549644, 399576.3210906663]","[686099.9222287614, 537259.5272883278, 399576.3210906663]","[624636.9731232576, 487314.2306600633, 399576.3210906663]","[606307.5131275394, 501295.48680108116, 399576.3210906663]","[693221.3026180963, 528373.8336983974, 399576.3210906663]","[586600.638583472, 489186.8140903164, 399576.3210906663]","[612973.3714814355, 506693.46408998873, 399576.3210906663]","[573223.7773240015, 474492.1755292965, 399576.3210906663]","[604946.3746197845, 485319.7146863137, 399576.3210906663]","[551580.8391605471, 473316.59618968336, 399576.3210906663]","[600413.7779563098, 487156.26775626023, 399576.3210906663]","[575661.4689737057, 478553.9439509285, 399576.3210906663]","[611608.9722544565, 483154.7142704278, 399576.3210906663]","[640820.9997624578, 512853.7861361899, 399576.3210906663]","[554260.9837170431, 468492.26777382824, 399576.3210906663]","[549364.791332094, 479729.5421737677, 399576.3210906663]","[632773.0817393443, 494935.59661283315, 399576.3210906663]","[550619.3688316214, 465642.88813365257, 399576.3210906663]","[755968.0988040309, 593828.3884774115, 399576.3210906663]","[561752.4754192363, 475205.4332514781, 399576.3210906663]","[581800.709540938, 504350.5964362351, 399576.3210906663]","[592196.4367289036, 483892.6126238466, 399576.3210906663]","[603255.4245710236, 479226.5442844257, 399576.3210906663]","[606218.5518684688, 490198.03035497625, 399576.3210906663]","[565895.095005468, 477210.51246227097, 399576.3210906663]","[580214.1207328512, 476888.3069136286, 399576.3210906663]","[584493.8056252492, 487028.5698174644, 399576.3210906663]","[566371.3210458405, 461376.8417197768, 399576.3210906663]","[579201.6193575988, 476246.2073806425, 399576.3210906663]","[622165.6558125518, 504342.8464053872, 399576.3210906663]","[589680.9779971605, 496691.25613369193, 399576.3210906663]","[623264.3534156553, 485747.4203427305, 399576.3210906663]","[603635.1048736828, 492721.2630587565, 399576.3210906663]","[611367.2446879898, 490061.3966438985, 399576.3210906663]","[592733.3163837872, 485575.59846568026, 399576.3210906663]","[655444.5308713736, 518743.70583541476, 399576.3210906663]","[535235.7080339509, 473749.8780389814, 399576.3210906663]","[575488.4586667304, 468841.5211615356, 399576.3210906663]","[561795.5176046562, 477709.8060827628, 399576.3210906663]"
"[597182.9644260615, 478400.7120848395, 374007.7421092447]","[621539.5220092287, 489458.1150488732, 374007.7421092447]","[576022.9138133142, 460852.0472108427, 374007.7421092447]","[597834.842990738, 457667.40538586606, 374007.7421092447]","[611322.3633534883, 481192.51783363655, 374007.7421092447]","[604082.7496618761, 474000.46535037225, 374007.7421092447]","[552432.2141521898, 448234.12096344336, 374007.7421092447]","[556564.5760105705, 447234.3713375371, 374007.7421092447]","[499966.3042379132, 442260.7117167609, 374007.7421092447]","[586111.270475542, 485785.7666989302, 374007.7421092447]","[634923.9824102918, 473472.6125077534, 374007.7421092447]","[613124.8231525631, 490324.4723822667, 374007.7421092447]","[542077.8531401838, 441765.5132326719, 374007.7421092447]","[594092.4887065995, 483774.46766843915, 374007.7421092447]","[501435.40183110104, 439755.6327485497, 374007.7421092447]","[606707.5424895153, 468769.4589767719, 374007.7421092447]","[535458.6184054079, 454133.1795073123, 374007.7421092447]","[565324.6091605584, 472969.3458961124, 374007.7421092447]","[558683.9134733576, 447467.6033937346, 374007.7421092447]","[594602.8119059819, 455744.5602937291, 374007.7421092447]","[550128.6947482738, 457773.468461821, 374007.7421092447]","[561428.9470060531, 447658.6445288875, 374007.7421092447]","[624837.0469714155, 499478.57269653224, 374007.7421092447]","[550262.6629076529, 447653.7931859317, 374007.7421092447]","[554713.9334393458, 450068.04328740045, 374007.7421092447]","[590563.851690324, 469881.54562801943, 374007.7421092447]","[548819.5709373434, 455844.651593091, 374007.7421092447]","[528069.4759483881, 444494.78918140626, 374007.7421092447]","[545628.8942581482, 451128.134807125, 374007.7421092447]","[569339.0570355001, 466231.31978968, 374007.7421092447]","[543648.757384227, 454120.71555480605, 374007.7421092447]","[554496.3523567456, 457348.320533491, 374007.7421092447]","[592566.9824231006, 466210.1247854825, 374007.7421092447]","[598860.1987690636, 448387.1036809328, 374007.7421092447]","[546448.2492885824, 456972.0312995658, 374007.7421092447]","[596678.218040694, 459285.81808076584, 374007.7421092447]","[542871.5686639979, 447022.575304021, 374007.7421092447]","[557464.7814361453, 449594.4947541888, 374007.7421092447]","[564065.45827645, 463113.7018278818, 374007.7421092447]","[510949.59374062525, 444728.5572383455, 374007.7421092447]","[576863.9180722863, 444901.58877472, 374007.7421092447]","[559787.0553129257, 452167.73068718484, 374007.7421092447]","[555586.1483441107, 451414.0568797267, 374007.7421092447]","[523029.12206170766, 440139.6994701254, 374007.7421092447]","[552589.0889629662, 453759.1584643363, 374007.7421092447]","[506870.39841025794, 431362.0458571618, 374007.7421092447]","[548520.6205738322, 440891.8236019002, 374007.7421092447]","[606180.4682966262, 473367.09937338205, 374007.7421092447]","[568059.3797982627, 455083.6475235687, 374007.7421092447]","[570507.8253358308, 456829.2379569505, 374007.7421092447]"
"[480471.58325426804, 427510.7869869952, 366232.929859345]","[549096.6603860466, 448731.1256595285, 366232.929859345]","[530277.6655623358, 437203.0812880242, 366232.929859345]","[641804.9063804692, 497242.82486903825, 366232.929859345]","[526066.6306752614, 440038.8355901266, 366232.929859345]","[558319.9035181279, 445915.95970305405, 366232.929859345]","[561836.3709566058, 439245.81765404606, 366232.929859345]","[541407.6281262761, 442212.9602052182, 366232.929859345]","[486537.3816771552, 433585.5138995452, 366232.929859345]","[605807.770326844, 476731.5304081879, 366232.929859345]","[511960.2147170125, 437213.60812491155, 366232.929859345]","[510193.9499780881, 430733.0502292341, 366232.929859345]","[569382.6477819878, 444790.5105199545, 366232.929859345]","[570700.5412776427, 444942.4460787148, 366232.929859345]","[573555.7802033882, 464251.87202590716, 366232.929859345]","[578856.0074768269, 472427.1840303927, 366232.929859345]","[527959.705496777, 439415.24213914736, 366232.929859345]","[513153.28938221163, 432275.7835965686, 366232.929859345]","[565334.6407714781, 446008.5331634955, 366232.929859345]","[532766.9699996982, 435877.6325776023, 366232.929859345]","[561431.3097590903, 448293.92949878256, 366232.929859345]","[556970.018739062, 437036.79658607324, 366232.929859345]","[549445.0900617446, 460246.554490808, 366232.929859345]","[645124.3795152316, 502375.43253740546, 366232.929859345]","[561900.9450569293, 444907.3266466569, 366232.929859345]","[537345.5488127484, 443484.71627255436, 366232.929859345]","[594993.8231374098, 478133.5856787183, 366232.929859345]","[531615.0010208994, 438898.83957739925, 366232.929859345]","[486084.97068924166, 435002.92831911833, 366232.929859345]","[600719.2032006707, 461459.05557382316, 366232.929859345]","[621191.7853032494, 477836.3730841683, 366232.929859345]","[507479.60341525014, 439705.5169276678, 366232.929859345]","[531805.3794023113, 456186.7894622086, 366232.929859345]","[527600.5518427918, 433947.81873844296, 366232.929859345]","[534297.7870187124, 437338.77533299365, 366232.929859345]","[500384.1666835239, 428481.64131919364, 366232.929859345]","[520227.4089139355, 429631.69541041873, 366232.929859345]","[587374.2181044047, 445793.2763872543, 366232.929859345]","[582367.8033064376, 460800.10724035604, 366232.929859345]","[479567.211294807, 430147.34217582335, 366232.929859345]","[579666.560116944, 461050.50208333426, 366232.929859345]","[552550.0460596017, 450128.9627963804, 366232.929859345]","[544046.3722097607, 437357.62642876495, 366232.929859345]","[612504.1822645761, 447097.27747280174, 366232.929859345]","[528751.7826257177, 448395.0638759868, 366232.929859345]","[507347.37975413445, 434885.6397110239, 366232.929859345]","[518627.49628970353, 437405.48632453504, 366232.929859345]","[586469.5080866204, 473130.4485902241, 366232.929859345]","[563058.7887968495, 451835.4817589459, 366232.929859345]","[532429.1222872696, 439105.32956888375, 366232.929859345]"
"[546968.4266520854, 429717.4166272886, 348651.83061641967]","[496480.58852222323, 426632.6155505527, 348651.83061641967]","[519975.98530478915, 431363.77431837283, 348651.83061641967]","[580337.3060434842, 454411.5520966332, 348651.83061641967]","[488403.4009838581, 410275.8016444367, 348651.83061641967]","[547826.1812698527, 426394.8545206072, 348651.83061641967]","[528115.9357577217, 424683.0487596654, 348651.83061641967]","[478705.6203106954, 411648.33655747736, 348651.83061641967]","[551692.2273377161, 443253.40124628623, 348651.83061641967]","[504372.6212288716, 423138.22516711213, 348651.83061641967]","[512473.1377516865, 435420.52490696247, 348651.83061641967]","[526678.6743013522, 434849.8911705227, 348651.83061641967]","[576715.9945307148, 450691.01718154806, 348651.83061641967]","[560666.5116668587, 438466.19352892943, 348651.83061641967]","[495347.2198858646, 416456.5015392538, 348651.83061641967]","[568274.9983680594, 455182.2565705089, 348651.83061641967]","[487352.36549782683, 419639.88244818914, 348651.83061641967]","[530057.9520189124, 423847.8099339382, 348651.83061641967]","[507719.5411978588, 413045.7470564252, 348651.83061641967]","[499219.16264930036, 441888.7388138278, 348651.83061641967]","[574409.0331610542, 435406.19524016825, 348651.83061641967]","[490495.06274257135, 419883.69962260383, 348651.83061641967]","[496080.84664800635, 423474.46830635186, 348651.83061641967]","[486857.2542601955, 414170.5215241237, 348651.83061641967]","[618809.8770054373, 508101.04339849507, 348651.83061641967]","[523230.43504920753, 418628.32597405906, 348651.83061641967]","[506174.33382988867, 421846.1128664393, 348651.83061641967]","[538160.461640457, 431446.20094387664, 348651.83061641967]","[519347.13033981307, 426536.10222161387, 348651.83061641967]","[496456.929027723, 417514.7404396053, 348651.83061641967]","[478358.8260846625, 412792.37766775856, 348651.83061641967]","[494962.6266850183, 423008.4851573987, 348651.83061641967]","[548314.3894647671, 427867.1929247112, 348651.83061641967]","[560321.2113379142, 430969.3566878899, 348651.83061641967]","[591718.7545153879, 494285.0087215574, 348651.83061641967]","[488444.2066207903, 415536.79139636364, 348651.83061641967]","[522679.131525448, 435959.2080577554, 348651.83061641967]","[538714.4727892288, 434925.8583841482, 348651.83061641967]","[551294.3253344306, 425387.26076410303, 348651.83061641967]","[491635.41654657514, 416276.1089548422, 348651.83061641967]","[559543.9393711357, 424788.0772026845, 348651.83061641967]","[522820.1505015473, 419264.65799373045, 348651.83061641967]","[536422.3095298979, 438694.4198324531, 348651.83061641967]","[563092.3465036763, 461507.83813341596, 348651.83061641967]","[514754.47893247555, 420223.2932194084, 348651.83061641967]","[499334.68174529856, 412468.1232056683, 348651.83061641967]","[552603.9335041215, 427218.2891787895, 348651.83061641967]","[576339.5309044711, 466034.79456755443, 348651.83061641967]","[517696.87595783797, 414929.22227817227, 348651.83061641967]","[485439.7327145553, 416355.17105301574, 348651.83061641967]"
"[642437.016071337, 521179.36113608605, 421334.43060813134]","[668436.1379749506, 524252.04449825536, 421334.43060813134]","[636125.6506820476, 526776.742672262, 421334.43060813134]","[654329.1080585894, 507290.8236033302, 421334.43060813134]","[652508.045199105, 519195.0712632589, 421334.43060813134]","[638110.6943397671, 510956.55202643195, 421334.43060813134]","[654772.9555501682, 530648.1219241819, 421334.43060813134]","[613549.54653092, 500721.9306069479, 421334.43060813134]","[576606.367798815, 497346.34687486937, 421334.43060813134]","[643235.6432070908, 518154.10011993325, 421334.43060813134]","[585959.881393984, 497411.2724245517, 421334.43060813134]","[598822.6465003315, 500461.5333819816, 421334.43060813134]","[658312.3135587355, 516995.82534480945, 421334.43060813134]","[654606.3202602137, 505395.6563412957, 421334.43060813134]","[689784.9138993974, 535087.8297388235, 421334.43060813134]","[642590.1405008651, 500886.5802301709, 421334.43060813134]","[627854.2454553448, 500706.4837904868, 421334.43060813134]","[597283.4287469807, 500762.3731705328, 421334.43060813134]","[623657.7639198656, 499701.48041140795, 421334.43060813134]","[650116.770679165, 516332.3724936343, 421334.43060813134]","[570600.7436402884, 495731.84844075347, 421334.43060813134]","[630928.788293951, 500657.74458578514, 421334.43060813134]","[581674.9700505915, 485545.7811107495, 421334.43060813134]","[610205.6188487158, 516338.9503027604, 421334.43060813134]","[619209.7278359751, 510544.05892862345, 421334.43060813134]","[592106.5538170976, 494532.48397041333, 421334.43060813134]","[639968.7427915226, 511299.7659901936, 421334.43060813134]","[598500.2953637042, 498752.3210872294, 421334.43060813134]","[549738.0494029097, 485391.2684247694, 421334.43060813134]","[600271.0367317116, 512679.91619724885, 421334.43060813134]","[616416.6352053807, 495708.3424060227, 421334.43060813134]","[634389.4811512489, 500227.021047344, 421334.43060813134]","[678343.5945703456, 511854.4363788025, 421334.43060813134]","[647570.3445988683, 495063.7848898274, 421334.43060813134]","[625194.1457868392, 515507.5851221508, 421334.43060813134]","[703410.9191792955, 522142.0593512638, 421334.43060813134]","[636974.9916567244, 514421.4234679954, 421334.43060813134]","[625313.350953784, 521232.24969707045, 421334.43060813134]","[587871.9631269147, 505402.78640550515, 421334.43060813134]","[621519.8359219485, 507573.05091094086, 421334.43060813134]","[587626.5552094213, 501419.73258868826, 421334.43060813134]","[587497.5885456079, 502303.330406792, 421334.43060813134]","[663532.9093315647, 514418.88397096033, 421334.43060813134]","[553647.7666118521, 482856.6561496929, 421334.43060813134]","[655770.8050204153, 533679.0320661009, 421334.43060813134]","[638147.8874378277, 504095.1531776935, 421334.43060813134]","[677795.2812618098, 518970.6786158086, 421334.43060813134]","[614403.1560050359, 516414.036459837, 421334.43060813134]","[620365.0798215378, 509938.64078456117, 421334.43060813134]","[632456.1720719553, 519151.2829566228, 421334.43060813134]"
"[615536.8515462945, 519907.7525281649, 429773.1326253397]","[623411.6336147545, 514738.6731996839, 429773.1326253397]","[629177.6653003786, 529134.4349018532, 429773.1326253397]","[594662.491436009, 508006.8371270162, 429773.1326253397]","[645131.0557898149, 533888.3133787385, 429773.1326253397]","[667223.1348136466, 523236.82794037746, 429773.1326253397]","[632827.2823639099, 525130.1249279024, 429773.1326253397]","[616643.0462689534, 526266.3831626395, 429773.1326253397]","[749698.5915708523, 596370.1164198937, 429773.1326253397]","[611347.0375364798, 506753.5144415133, 429773.1326253397]","[671389.5221893982, 530933.880426658, 429773.1326253397]","[622244.8901495272, 504224.754760609, 429773.1326253397]","[618572.3457760735, 513386.77290782385, 429773.1326253397]","[660716.3900526772, 519012.2933316501, 429773.1326253397]","[583601.95702932, 501878.4569357168, 429773.1326253397]","[702393.0882075694, 549951.2908716409, 429773.1326253397]","[677760.269556866, 528743.7120648047, 429773.1326253397]","[633155.8292997265, 525245.9462584396, 429773.1326253397]","[645601.1921914406, 531225.7437931009, 429773.1326253397]","[589437.8345445266, 500160.0289440508, 429773.1326253397]","[701461.4042502644, 523600.67181043606, 429773.1326253397]","[680190.8536095707, 532854.8498743027, 429773.1326253397]","[665730.7850591441, 524634.7838427695, 429773.1326253397]","[617171.4361666463, 507064.37793969066, 429773.1326253397]","[660030.725764623, 543091.994076572, 429773.1326253397]","[668458.9795886305, 523369.7434856537, 429773.1326253397]","[636370.5340252393, 519999.1981743972, 429773.1326253397]","[644828.6195179013, 512821.14716893644, 429773.1326253397]","[556331.1659243567, 494383.3194444539, 429773.1326253397]","[694901.2320563279, 553952.4280945892, 429773.1326253397]","[648103.477746156, 511202.5677533174, 429773.1326253397]","[637603.8538534931, 519500.8847807458, 429773.1326253397]","[576211.4401066335, 504628.9503062082, 429773.1326253397]","[616199.76767734, 510564.13192663237, 429773.1326253397]","[688262.4919372433, 534232.1651083835, 429773.1326253397]","[626809.3969974604, 523494.36504217476, 429773.1326253397]","[600689.8870612847, 511905.5697712087, 429773.1326253397]","[569828.0252029169, 499056.2634720121, 429773.1326253397]","[637641.9128339329, 509847.5343171, 429773.1326253397]","[646605.5459439668, 515565.5640282628, 429773.1326253397]","[686266.5514332523, 548480.7107494016, 429773.1326253397]","[645016.7149529649, 521088.5112317795, 429773.1326253397]","[669855.1415660708, 543491.9594024844, 429773.1326253397]","[595290.5264191985, 508194.6380749116, 429773.1326253397]","[598765.880533341, 503412.9620528527, 429773.1326253397]","[691450.8793800286, 535598.051241412, 429773.1326253397]","[600696.7564940328, 503782.8697238456, 429773.1326253397]","[589360.4862853938, 494604.0953676071, 429773.1326253397]","[572374.9596955146, 501064.3111561253, 429773.1326253397]","[663440.583842078, 510315.05768032663, 429773.1326253397]"
"[633560.9091567118, 511001.36047123367, 409439.1372822137]","[602291.3659521942, 499379.32928686717, 409439.1372822137]","[643857.585117541, 502687.26475487265, 409439.1372822137]","[677574.8620272132, 546321.1085614637, 409439.1372822137]","[637679.9024574788, 510921.39134340995, 409439.1372822137]","[645460.9684446441, 500026.2917082666, 409439.1372822137]","[618457.2440438783, 505861.61545111006, 409439.1372822137]","[618515.3552150214, 491361.1140374396, 409439.1372822137]","[650652.1196345784, 520988.6620088187, 409439.1372822137]","[591713.9485814566, 488080.64818214026, 409439.1372822137]","[590378.5613309193, 491247.40403258003, 409439.1372822137]","[610849.5856485937, 495118.50952830026, 409439.1372822137]","[626223.8592699765, 496551.7877119875, 409439.1372822137]","[575798.5877774622, 482773.4264207431, 409439.1372822137]","[583796.4684659137, 486076.22457836056, 409439.1372822137]","[589991.5469339384, 496597.2170327389, 409439.1372822137]","[643491.2806730362, 495055.8594731751, 409439.1372822137]","[595463.2455506112, 481058.291767891, 409439.1372822137]","[556422.181114723, 477228.77810929395, 409439.1372822137]","[581895.7831720266, 497848.2871624247, 409439.1372822137]","[625295.2749165461, 540507.2366825406, 409439.1372822137]","[594305.2567508916, 497811.7931821937, 409439.1372822137]","[670325.6396351565, 518821.2478989068, 409439.1372822137]","[622932.7631798926, 493264.174669568, 409439.1372822137]","[593266.2935534321, 486624.5701091916, 409439.1372822137]","[568804.1307518563, 488892.8380463639, 409439.1372822137]","[611804.4981025957, 498304.19767282874, 409439.1372822137]","[586584.3442968955, 481326.24106630293, 409439.1372822137]","[575264.9980416769, 487064.1480096351, 409439.1372822137]","[631302.4915826229, 534309.6047148404, 409439.1372822137]","[565940.1086572002, 486528.69816631067, 409439.1372822137]","[685399.2227098037, 516209.61693336634, 409439.1372822137]","[611478.5133431212, 489930.1485956067, 409439.1372822137]","[611245.8485244878, 497501.9204499013, 409439.1372822137]","[575789.8343782559, 484620.45109487127, 409439.1372822137]","[597904.1050871186, 493161.0443091474, 409439.1372822137]","[590027.9883155937, 495508.3513778387, 409439.1372822137]","[668807.985182205, 533308.6810467073, 409439.1372822137]","[606549.3309578777, 491855.7698394765, 409439.1372822137]","[702478.4432113367, 528031.0931079063, 409439.1372822137]","[623101.1201211698, 500342.7386078565, 409439.1372822137]","[661099.2261902677, 509104.52374468354, 409439.1372822137]","[596034.8835610658, 489682.81798358733, 409439.1372822137]","[582455.0337099868, 504727.91006643383, 409439.1372822137]","[632042.9514359048, 518155.6206002611, 409439.1372822137]","[608990.9967231604, 489941.4827553787, 409439.1372822137]","[576397.5619485928, 489551.73334168515, 409439.1372822137]","[602257.1797385447, 487738.6613843946, 409439.1372822137]","[655836.5027481396, 509835.05700987997, 409439.1372822137]","[706037.6645465734, 532411.7993347532, 409439.1372822137]"
"[686608.7946423974, 535958.6332747536, 441034.18118394]","[612675.3795636388, 518253.09973427566, 441034.18118394]","[601534.831029332, 517240.75894487544, 441034.18118394]","[704246.1039335491, 581996.4736497011, 441034.18118394]","[627144.3806687869, 515258.95987105474, 441034.18118394]","[687072.2489547291, 539206.4490071909, 441034.18118394]","[722213.1156121715, 530208.3292946272, 441034.18118394]","[661965.4431857718, 537053.5188620484, 441034.18118394]","[730392.6184120474, 555842.4611433087, 441034.18118394]","[691336.3144636899, 559450.5850775698, 441034.18118394]","[692397.1126147924, 591897.9753081464, 441034.18118394]","[622757.6455523327, 528779.5100938914, 441034.18118394]","[681566.169247309, 542093.895777492, 441034.18118394]","[628608.3530258999, 528827.725921657, 441034.18118394]","[639431.7954128758, 535511.2947077967, 441034.18118394]","[616196.1625120589, 523863.65824366215, 441034.18118394]","[667534.4040754441, 532939.5407064878, 441034.18118394]","[675971.0894925382, 545994.8462632396, 441034.18118394]","[642663.4967699725, 526584.8313859616, 441034.18118394]","[674619.4847912047, 543630.2962238513, 441034.18118394]","[631284.1207700516, 539695.6762155143, 441034.18118394]","[607843.528346786, 522877.8304231834, 441034.18118394]","[643347.9673987553, 549434.1360871147, 441034.18118394]","[634373.0053872485, 524062.36566691176, 441034.18118394]","[632422.9998881139, 524661.404073846, 441034.18118394]","[660758.7366809291, 546700.1027443331, 441034.18118394]","[644942.0338931443, 528060.6978870401, 441034.18118394]","[658990.5599533996, 543406.8058024433, 441034.18118394]","[643982.3165177334, 539794.2897599053, 441034.18118394]","[626236.8991699658, 531454.4084590313, 441034.18118394]","[633774.2197449195, 524029.18349655246, 441034.18118394]","[655917.6203759728, 552132.6556047568, 441034.18118394]","[726440.6409002289, 533876.137755524, 441034.18118394]","[643559.5973132458, 541595.2564054537, 441034.18118394]","[611121.8478367822, 524179.3374151926, 441034.18118394]","[665735.5152051193, 545136.0162023448, 441034.18118394]","[673501.986453761, 572693.0299223672, 441034.18118394]","[649795.8985654886, 536670.1276548032, 441034.18118394]","[638558.4232700327, 538565.0670168805, 441034.18118394]","[694411.7857531046, 561168.421648327, 441034.18118394]","[602736.2360186459, 517111.5786705789, 441034.18118394]","[632537.2677755409, 522234.95285589, 441034.18118394]","[662732.0580252017, 531073.2059554475, 441034.18118394]","[644284.150537711, 539865.7829867257, 441034.18118394]","[638617.193337733, 520180.572922149, 441034.18118394]","[656020.382578724, 528600.2621298061, 441034.18118394]","[717237.8577357678, 593049.3710489263, 441034.18118394]","[739505.6190537193, 544549.2045922693, 441034.18118394]","[643509.9818762344, 528843.9808836158, 441034.18118394]","[671850.1166735112, 522789.20689437905, 441034.18118394]"
